co_id,eps,time
3008,48.84,2019 Q2
3008,37.68,2019 Q1
3008,181.67,2018
3008,62.41,2018 Q3
3008,41.01,2018 Q2
3008,29.96,2018 Q1
3008,193.65,2017
3008,57.93,2017 Q3
3008,35.14,2017 Q2
3008,36.41,2017 Q1
3008,169.47,2016
3008,51.89,2016 Q3
3008,27.51,2016 Q2
3008,27.01,2016 Q1
3008,180.08,2015
3008,61.17,2015 Q3
3008,35.96,2015 Q2
3008,32.86,2015 Q1
3008,144.91,2014
3008,39.4,2014 Q3
3008,27.75,2014 Q2
3008,22.36,2014 Q1
3008,71.64,2013
3008,17.3,2013 Q3
3008,15.17,2013 Q2
3008,13.79,2013 Q1
