close,co_id,date,difference_percentage,high,low,open,total_trade_count,total_trade_dollar,total_trade_stocks
40.55,1101,108/11/01,0.1,40.6,40.3,40.45,"2,895","381,145,627","9,416,327"
39.65,1101,108/10/01,0.0,39.95,39.5,39.9,"6,226","619,525,116","15,615,126"
39.25,1101,108/10/02,-0.4,39.75,39.2,39.65,"6,645","607,362,423","15,424,274"
39.0,1101,108/10/03,-0.25,39.1,38.65,38.95,"5,593","498,738,155","12,824,802"
38.9,1101,108/10/04,-0.1,39.1,38.75,39.1,"4,332","390,571,570","10,045,259"
39.3,1101,108/10/07,0.4,39.35,39.0,39.05,"3,409","274,356,702","6,996,308"
39.75,1101,108/10/08,0.45,39.75,39.45,39.75,"5,782","556,545,801","14,023,971"
39.5,1101,108/10/09,-0.25,39.8,39.5,39.75,"4,085","401,135,124","10,114,757"
39.95,1101,108/10/14,0.45,40.15,39.6,40.1,"6,898","796,976,600","19,955,639"
40.0,1101,108/10/15,0.05,40.05,39.75,40.0,"3,832","379,084,866","9,498,872"
40.0,1101,108/10/16,0.0,40.1,39.8,40.1,"5,418","560,003,340","14,023,861"
40.1,1101,108/10/17,0.1,40.1,39.95,40.05,"5,237","515,271,575","12,869,437"
40.95,1101,108/10/18,0.85,41.1,40.1,40.2,"11,437","1,980,985,217","48,548,299"
41.5,1101,108/10/21,0.55,41.75,41.25,41.25,"8,680","990,293,117","23,863,475"
41.4,1101,108/10/22,-0.1,41.7,41.1,41.7,"7,306","731,969,694","17,732,106"
40.95,1101,108/10/23,-0.45,41.4,40.8,41.4,"7,210","757,279,466","18,481,663"
41.0,1101,108/10/24,0.05,41.25,40.75,41.05,"6,233","604,292,372","14,762,042"
40.85,1101,108/10/25,-0.15,41.25,40.6,41.2,"7,604","863,421,380","21,160,672"
40.75,1101,108/10/28,-0.1,41.15,40.6,41.05,"4,783","458,199,037","11,235,915"
40.65,1101,108/10/29,-0.1,40.9,40.35,40.9,"5,868","741,722,655","18,269,003"
40.35,1101,108/10/30,-0.3,40.65,40.2,40.65,"7,943","809,801,570","20,075,650"
40.45,1101,108/10/31,0.1,40.65,40.35,40.5,"5,907","568,484,862","14,050,758"
38.25,1101,108/09/02,-0.2,38.45,38.05,38.45,"5,648","683,664,084","17,882,221"
38.35,1101,108/09/03,0.1,38.45,38.25,38.25,"3,435","461,939,826","12,035,375"
38.45,1101,108/09/04,0.1,38.5,38.25,38.25,"3,319","351,164,012","9,142,411"
39.0,1101,108/09/05,0.55,39.0,38.5,38.5,"5,761","599,406,328","15,438,292"
39.85,1101,108/09/06,0.85,40.1,39.05,39.05,"10,541","1,066,474,111","26,871,485"
40.0,1101,108/09/09,0.15,40.2,39.8,40.0,"6,996","677,411,317","16,943,215"
39.95,1101,108/09/10,-0.05,40.25,39.85,40.15,"4,205","493,279,606","12,337,067"
40.0,1101,108/09/11,0.05,40.15,39.75,40.15,"4,590","509,421,828","12,764,481"
40.05,1101,108/09/12,0.05,40.2,40.0,40.15,"5,828","571,869,983","14,268,314"
40.1,1101,108/09/16,0.05,40.25,39.9,40.05,"6,167","692,896,719","17,271,304"
39.5,1101,108/09/17,-0.6,40.1,39.35,40.1,"6,642","755,376,740","19,084,656"
39.8,1101,108/09/18,0.3,40.1,39.6,39.6,"6,522","570,186,300","14,280,620"
39.8,1101,108/09/19,0.0,40.0,39.7,40.0,"2,701","247,915,040","6,222,051"
40.2,1101,108/09/20,0.4,40.2,39.65,39.8,"3,212","603,579,875","15,097,107"
39.75,1101,108/09/23,-0.45,40.2,39.75,40.2,"5,029","563,647,490","14,124,846"
39.8,1101,108/09/24,0.05,39.95,39.6,39.9,"7,546","736,909,716","18,541,765"
39.6,1101,108/09/25,-0.2,39.9,39.6,39.85,"4,688","627,474,172","15,820,226"
39.9,1101,108/09/26,0.3,40.0,39.65,39.85,"6,233","401,828,611","10,091,704"
39.65,1101,108/09/27,-0.25,40.0,39.6,40.0,"6,055","500,584,414","12,600,833"
44.05,1101,108/08/01,-0.65,44.55,44.0,44.5,"10,943","1,485,588,854","33,643,219"
43.55,1101,108/08/02,-0.50,44.0,43.5,43.85,"10,993","1,277,523,987","29,235,522"
43.55,1101,108/08/05, 0.00,43.85,43.4,43.5,"8,386","844,324,447","19,388,431"
43.3,1101,108/08/06,-0.25,43.5,43.0,43.0,"8,636","925,730,540","21,429,137"
43.35,1101,108/08/07,+0.05,43.75,43.3,43.4,"5,977","729,441,083","16,771,372"
43.9,1101,108/08/08,+0.55,44.2,43.8,44.2,"6,149","1,053,662,848","23,908,237"
43.95,1101,108/08/12,+0.05,44.15,43.9,43.9,"11,423","1,827,716,242","41,575,871"
37.25,1101,108/08/13,X0.00,37.85,37.05,37.85,"14,801","1,785,538,633","47,642,885"
38.3,1101,108/08/14,+1.05,38.4,37.55,37.9,"9,594","985,192,698","25,945,962"
38.0,1101,108/08/15,-0.30,38.2,37.65,37.95,"6,670","577,760,799","15,233,101"
37.95,1101,108/08/16,-0.05,38.1,37.8,38.1,"4,658","453,181,273","11,940,427"
38.1,1101,108/08/19,+0.15,38.4,38.0,38.15,"4,923","479,357,620","12,566,435"
38.15,1101,108/08/20,+0.05,38.3,38.1,38.3,"3,616","309,021,700","8,093,335"
37.95,1101,108/08/21,-0.20,38.2,37.9,38.15,"4,876","426,796,410","11,224,764"
37.85,1101,108/08/22,-0.10,38.15,37.8,38.1,"4,553","398,511,728","10,511,944"
38.2,1101,108/08/23,+0.35,38.2,37.75,37.8,"3,176","296,500,722","7,814,273"
37.7,1101,108/08/26,-0.50,37.85,37.15,37.85,"6,041","644,033,846","17,162,342"
37.65,1101,108/08/27,-0.05,37.9,37.5,37.9,"3,647","525,667,299","13,973,985"
37.7,1101,108/08/28,+0.05,37.7,37.5,37.65,"2,978","302,573,243","8,045,693"
37.8,1101,108/08/29,+0.10,37.9,37.5,37.9,"3,712","368,833,075","9,799,389"
38.45,1101,108/08/30,+0.65,38.45,37.85,38.0,"5,089","769,469,853","20,183,196"
46.15,1101,108/07/01,0.1,46.5,45.8,46.05,"5,933","865,316,307","18,711,269"
46.35,1101,108/07/02,0.2,46.6,45.9,46.0,"6,820","801,137,003","17,270,479"
46.25,1101,108/07/03,-0.1,46.45,46.05,46.2,"6,342","747,426,445","16,146,167"
45.9,1101,108/07/04,-0.35,46.25,45.7,46.2,"7,269","784,764,429","17,096,640"
46.15,1101,108/07/05,0.25,46.5,45.85,46.0,"6,750","825,198,987","17,864,680"
46.2,1101,108/07/08,0.05,46.35,46.0,46.15,"4,754","622,449,666","13,478,986"
46.0,1101,108/07/09,-0.2,46.25,46.0,46.2,"3,325","416,745,977","9,046,656"
45.85,1101,108/07/10,-0.15,46.2,45.8,46.05,"8,097","814,766,330","17,734,832"
44.8,1101,108/07/11,-1.05,45.85,44.7,45.85,"15,001","1,780,768,618","39,584,628"
44.35,1101,108/07/12,-0.45,45.0,44.2,44.7,"9,928","1,238,019,243","27,811,314"
44.05,1101,108/07/15,-0.3,44.35,43.85,44.35,"10,000","1,309,544,294","29,743,599"
44.75,1101,108/07/16,0.7,44.85,44.0,44.05,"7,884","1,321,593,891","29,790,731"
44.7,1101,108/07/17,-0.05,44.95,44.45,44.8,"6,464","904,596,953","20,286,766"
44.6,1101,108/07/18,-0.1,44.75,44.5,44.6,"3,882","476,678,185","10,693,913"
44.8,1101,108/07/19,0.2,44.9,44.55,44.7,"5,577","808,328,336","18,104,510"
44.9,1101,108/07/22,0.1,45.15,44.8,45.0,"5,500","808,162,965","17,981,587"
45.05,1101,108/07/23,0.15,45.1,44.75,45.0,"5,268","582,908,169","12,969,865"
44.8,1101,108/07/24,-0.25,45.1,44.8,45.05,"5,003","824,295,610","18,355,808"
44.3,1101,108/07/25,-0.5,44.8,44.3,44.8,"6,889","802,203,541","18,027,435"
44.65,1101,108/07/26,0.35,44.65,44.15,44.2,"4,390","474,603,176","10,693,732"
44.85,1101,108/07/29,0.2,45.1,44.75,44.85,"4,949","610,672,625","13,587,745"
44.8,1101,108/07/30,-0.05,44.95,44.6,44.95,"3,480","405,662,100","9,051,203"
44.7,1101,108/07/31,-0.1,44.9,44.65,44.8,"4,695","619,983,828","13,853,882"
43.4,1101,108/06/03,0.5,43.4,42.6,42.65,"7,281","795,204,611","18,443,241"
43.1,1101,108/06/04,-0.3,44.0,43.1,43.45,"8,918","1,017,382,842","23,367,613"
43.0,1101,108/06/05,-0.1,43.4,42.9,43.25,"7,164","667,769,669","15,507,374"
43.15,1101,108/06/06,0.15,43.15,42.85,43.0,"6,592","643,570,905","14,976,358"
43.85,1101,108/06/10,0.7,43.95,43.3,43.5,"8,591","1,047,570,394","23,947,432"
44.0,1101,108/06/11,0.15,44.0,43.5,43.75,"8,808","807,941,550","18,430,940"
43.75,1101,108/06/12,-0.25,44.0,43.45,43.95,"7,276","725,424,187","16,608,036"
43.85,1101,108/06/13,0.1,43.95,43.6,43.95,"5,158","546,866,990","12,498,995"
43.95,1101,108/06/14,0.1,44.0,43.8,43.9,"3,999","473,506,419","10,784,006"
44.7,1101,108/06/17,0.75,44.95,44.1,44.1,"9,073","1,064,597,233","23,824,122"
45.2,1101,108/06/18,0.5,45.3,44.9,45.0,"8,046","1,107,573,626","24,566,221"
45.3,1101,108/06/19,0.1,45.5,44.8,45.5,"9,688","1,051,527,546","23,271,380"
45.4,1101,108/06/20,0.1,45.45,45.05,45.35,"4,933","694,444,881","15,327,679"
45.15,1101,108/06/21,-0.25,45.45,45.1,45.45,"4,854","890,455,941","19,692,353"
45.6,1101,108/06/24,0.45,45.6,45.05,45.15,"7,260","767,509,900","16,874,830"
45.6,1101,108/06/25,0.0,45.6,45.3,45.6,"4,444","530,055,117","11,651,818"
45.55,1101,108/06/26,-0.05,45.65,45.5,45.65,"2,661","374,694,385","8,224,286"
45.95,1101,108/06/27,0.4,46.1,45.55,45.55,"5,967","801,971,492","17,469,246"
46.05,1101,108/06/28,0.1,46.05,45.6,46.0,"3,983","783,257,054","17,078,549"
42.2,1101,108/05/02,0.2,42.35,42.1,42.2,"3,997","617,269,656","14,614,046"
42.85,1101,108/05/03,0.65,42.9,42.25,42.25,"8,342","1,129,786,568","26,493,555"
42.3,1101,108/05/06,-0.55,42.75,42.2,42.4,"6,818","1,138,758,372","26,872,053"
42.9,1101,108/05/07,0.6,43.0,42.35,42.35,"7,413","948,315,880","22,135,305"
43.0,1101,108/05/08,0.1,43.15,42.35,42.45,"7,989","1,082,622,880","25,209,560"
42.5,1101,108/05/09,-0.5,43.0,42.5,43.0,"6,014","876,166,008","20,544,980"
42.5,1101,108/05/10,0.0,43.05,42.4,42.6,"5,499","798,113,752","18,700,097"
42.0,1101,108/05/13,-0.5,42.85,42.0,42.7,"6,612","850,099,105","20,079,887"
41.55,1101,108/05/14,-0.45,41.8,41.2,41.55,"10,003","1,069,448,984","25,740,557"
41.75,1101,108/05/15,0.2,41.95,41.55,41.55,"4,754","647,465,771","15,495,692"
42.0,1101,108/05/16,0.25,42.4,41.6,41.7,"6,858","893,189,454","21,245,243"
42.25,1101,108/05/17,0.25,42.5,42.0,42.0,"5,066","550,064,184","13,021,732"
42.35,1101,108/05/20,0.1,42.6,42.2,42.5,"5,871","684,662,805","16,141,134"
42.85,1101,108/05/21,0.5,42.85,42.35,42.5,"6,651","768,317,922","17,994,481"
42.7,1101,108/05/22,-0.15,42.95,42.45,42.9,"4,480","451,613,096","10,571,129"
42.35,1101,108/05/23,-0.35,42.8,42.3,42.8,"5,301","580,475,611","13,668,997"
42.35,1101,108/05/24,0.0,42.65,42.25,42.35,"3,654","462,183,001","10,885,298"
42.4,1101,108/05/27,0.05,42.9,42.35,42.55,"4,045","469,714,977","11,028,081"
42.3,1101,108/05/28,-0.1,42.7,42.3,42.7,"3,749","934,210,261","22,057,803"
42.5,1101,108/05/29,0.2,42.5,42.05,42.4,"3,973","505,031,524","11,926,361"
42.8,1101,108/05/30,0.3,42.8,42.4,42.45,"5,483","709,415,429","16,665,186"
42.9,1101,108/05/31,0.1,42.9,42.5,42.6,"6,685","716,268,946","16,750,450"
41.35,1101,108/04/01,0.1,41.8,41.25,41.55,"10,132","1,171,619,600","28,261,025"
41.4,1101,108/04/02,0.05,41.7,41.3,41.65,"7,762","974,072,590","23,467,533"
41.7,1101,108/04/03,0.3,41.75,41.5,41.55,"5,804","794,119,481","19,088,018"
42.3,1101,108/04/08,0.6,42.35,41.95,41.95,"7,941","1,196,467,996","28,403,967"
42.15,1101,108/04/09,-0.15,42.55,41.95,42.45,"9,159","1,204,294,549","28,568,686"
42.0,1101,108/04/10,-0.15,42.2,41.75,42.15,"8,356","957,651,363","22,819,386"
